,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,TenureCategory,Tenure_X_MonthlyCharges,HighSpender,MonthlyChargesRatio,SqrtTotalCharges,SqrtMonthlyCharges,AutomaticPayment,AllServicesActivated,TeleServicesActivated,Connected,gender_Female,gender_Male,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0.0,1.0,1.0,1.572689952674324,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.368472627707427,2.2744229934147033,,2.0,2.3082954845524584,1.0,-0.5088071295767953,1.8355720327638418,1.2005202673028936,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,No
1,0.0,0.0,0.0,0.7179440792094158,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.569682223040287,-0.5717554366542525,,2.0,-0.5986370612212393,0.0,-0.4927248756544897,-0.3848543113653948,-1.6875509958890715,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,No
2,0.0,1.0,1.0,-0.3403127165090422,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.3721546415085366,-0.22240214803103175,,2.0,-0.20416311655440764,0.0,-0.4076568798220991,0.04937258163202271,0.44777304024389747,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,No
3,0.0,0.0,1.0,-0.13680179425549258,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0,1.0915355558856958,0.20000769077868308,,2.0,0.237811689987911,0.0,-0.4327834197134324,0.4594259183857503,1.0031628615079933,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,No
4,0.0,1.0,1.0,-0.3810149009597521,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.4058141332049432,-0.7840767065174402,,2.0,-0.7735509895643675,0.0,-0.39818107277183157,-0.7430124154716569,-1.4314591799875815,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,No
5,0.0,1.0,1.0,-0.8287389299175613,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.5745982657353472,-0.9126716920058623,,1.0,-0.9150662097835656,0.0,-0.272831590387566,-1.053518671192309,-1.69571742343862,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,No
6,0.0,0.0,0.0,1.4098812148714845,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.5549340949551063,-0.45226300105683065,,2.0,-0.4444792708960033,0.0,-0.5056905821648012,-0.2216412742088674,-1.6632398165595785,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No
7,0.0,1.0,1.0,-0.7880367454668513,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,-0.3701678054455705,-0.6999854614159129,,2.0,-0.7017308884186924,0.0,-0.2876269336726916,-0.586945490103855,-0.21464716083802537,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,Yes
8,0.0,0.0,0.0,0.7993484481108356,1.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.7867409087919566,1.0191727761345633,,2.0,1.0230032978809012,0.0,-0.49084690080988974,1.0861058538687836,0.7761039160482173,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,No
9,0.0,0.0,1.0,1.3691790304207745,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,0.7769088234018361,1.53086918333265,,2.0,1.5629204599306064,1.0,-0.5048423932788418,1.413669928602108,0.7685911573625456,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,No
10,0.0,0.0,0.0,-0.42171708541046204,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.572959584836994,-0.838155298912321,,2.0,-0.8321704445042477,0.0,-0.3930309126719858,-0.8590327262063119,-1.6929917479558039,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,No
11,0.0,1.0,0.0,1.2470724770686448,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.572959584836994,-0.48388577461683824,,2.0,-0.493353858555508,0.0,-0.5040694779033105,-0.2629951796835828,-1.6929917479558039,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,No
12,0.0,1.0,1.0,-1.0729520366218208,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,-0.7126521132014391,-0.8928350030924563,,1.0,-0.89677848528383,0.0,0.009883840322904063,-0.9962660357521521,-0.5658198993339312,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,No
13,0.0,0.0,0.0,1.572689952674324,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.443851949031685,2.413580371701172,,2.0,2.378398428468112,1.0,-0.5098400011462391,1.909016006893877,1.2529018635378497,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,No
14,0.0,1.0,0.0,0.6772418947587059,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,1.1013676412758164,1.0659950905502975,,2.0,1.1074230402018634,0.0,-0.4853240518244797,1.1176777752809088,1.010308546479501,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,No
15,0.0,0.0,0.0,1.6133921371250342,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.6699899130044598,2.6545617927541834,,2.0,2.6394492563622243,1.0,-0.5102251281923454,2.032759266772547,1.4068799993448757,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,No
