iter	Logloss
0	0.6795728331
1	0.6672209723
2	0.6552634315
3	0.6443633128
4	0.6340338944
5	0.6242468818
6	0.6142448467
7	0.6050669392
8	0.5962760074
9	0.5881805067
10	0.5798344634
11	0.5718016241
12	0.5644017417
13	0.5572925764
14	0.5505626419
15	0.544293211
16	0.5382711097
17	0.5329380129
18	0.5278897861
19	0.5224472514
20	0.5178614288
21	0.5130298529
22	0.5087834792
23	0.5044820952
24	0.500428557
25	0.4966709024
26	0.4927208421
27	0.4892203885
28	0.4855258805
29	0.4822266756
30	0.4789027071
31	0.4757884363
32	0.4728858821
33	0.4703539839
34	0.4677198262
35	0.4651936879
36	0.4627612778
37	0.4604622463
38	0.4581272505
39	0.4559476559
40	0.4543291104
41	0.4527435824
42	0.4506917471
43	0.448767382
44	0.4470071423
45	0.4453875336
46	0.4436824492
47	0.4422118453
48	0.4409516654
49	0.4393996624
50	0.4380747742
51	0.4366824183
52	0.4353945906
53	0.4342089086
54	0.4330563529
55	0.4318856605
56	0.4309322332
57	0.4298764363
58	0.4288540533
59	0.4277748228
60	0.4266549342
61	0.4257963477
62	0.4248888592
63	0.4239290057
64	0.4227955457
65	0.4219242054
66	0.4210248367
67	0.4203124605
68	0.4194502538
69	0.4185727607
70	0.4179658769
71	0.4171370787
72	0.4164430697
73	0.4157440777
74	0.4148674951
75	0.4141784328
76	0.4135507806
77	0.4128543111
78	0.4121922959
79	0.4116597848
80	0.4110956663
81	0.4105829922
82	0.4099929261
83	0.4093802519
84	0.4089218041
85	0.408355472
86	0.4079005156
87	0.4072987831
88	0.4068224939
89	0.4063470382
90	0.4059885214
91	0.4056426917
92	0.4051284035
93	0.4048197837
94	0.4042700581
95	0.4038773117
96	0.4034043882
97	0.4031115568
98	0.4026018346
99	0.4021641116
100	0.4017479333
101	0.4012348237
102	0.4008179168
103	0.4006029731
104	0.4002573199
105	0.399929114
106	0.3995344903
107	0.3992138485
108	0.3988993394
109	0.3986209732
110	0.3982938833
111	0.3978837651
112	0.3975324745
113	0.3971699677
114	0.3968813844
115	0.3965163232
116	0.3962491713
117	0.3959896625
118	0.3957261873
119	0.3954743766
120	0.3952261768
121	0.3950326815
122	0.3947134168
123	0.3943013358
124	0.39408456
125	0.3938989917
126	0.3937122738
127	0.3933440744
128	0.392985568
129	0.3928140634
130	0.3924993276
131	0.3923015053
132	0.3920358139
133	0.3917963984
134	0.3915340486
135	0.3914603329
136	0.3912164105
137	0.3910580539
138	0.3907088741
139	0.3904291777
140	0.3902089148
141	0.3900032164
142	0.3896343477
143	0.3893264877
144	0.3890845269
145	0.3888333114
146	0.3886257724
147	0.388371562
148	0.3881707292
149	0.3879271062
150	0.3877020528
151	0.3873980097
152	0.3871028016
153	0.3870541909
154	0.3867761189
155	0.3865429845
156	0.3862702244
157	0.3860133317
